,Year,Month,Type,From,To,Date,Player,Position,Transaction
0,2014,9,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,09/30,Joe McKnight,,Reserve/Injured
1,2014,9,reserve-list,Jets  Jets,Jets  Jets,09/30,Tommy Bohanon,,Reserve/Injured
2,2014,9,reserve-list,Falcons  Falcons,Falcons  Falcons,09/30,Joe Hawley,,Reserve/Injured
3,2014,9,reserve-list,Falcons  Falcons,Falcons  Falcons,09/30,Lamar Holmes,,Reserve/Injured
4,2014,9,reserve-list,Lions  Lions,Lions  Lions,09/30,Montell Owens,,Reserve/Injured
5,2014,9,reserve-list,Colts  Colts,Colts  Colts,09/29,Mario Harvey,,Reserve/Injured
6,2014,9,reserve-list,Colts  Colts,Colts  Colts,09/29,LaRon Landry,,Reserve/Suspended By Commissioner-Less than One Year
7,2014,9,reserve-list,Panthers  Panthers,Panthers  Panthers,09/27,Garry Williams,,Reserve/Injured
8,2014,9,reserve-list,Vikings  Vikings,Vikings  Vikings,09/24,Matt Cassel,,Reserve/Injured
9,2014,9,reserve-list,Vikings  Vikings,Vikings  Vikings,09/24,Brandon Fusco,,Reserve/Injured
10,2014,9,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,09/24,Chris Prosinski,,Reserve/Injured
11,2014,9,reserve-list,Texans  Texans,Texans  Texans,09/24,Louis Nix,,Reserve/Injured
12,2014,9,reserve-list,Raiders  Raiders,Raiders  Raiders,09/24,Tyvon Branch,,Reserve/Injured
13,2014,9,reserve-list,Chargers  Chargers,Chargers  Chargers,09/23,Danny Woodhead,,Reserve/Injured
14,2014,9,reserve-list,Ravens  Ravens,Ravens  Ravens,09/23,Dennis Pitta,,Reserve/Injured
15,2014,9,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,09/22,Mike Catapano,,Reserve/Injured
16,2014,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/22,DeAngelo Hall,,Reserve/Injured
17,2014,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/22,Duke Ihenacho,,Reserve/Injured
18,2014,9,reserve-list,Lions  Lions,Lions  Lions,09/22,Stephen Tulloch,,Reserve/Injured
19,2014,9,reserve-list,Packers  Packers,Packers  Packers,09/19,Andy Mulumba,,Reserve/Injured
20,2014,9,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,09/19,John Abraham,,Reserve/Injured
21,2014,9,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,09/19,Dion Jordan,,Reserve/Suspended By Commissioner-Less than One Year
22,2014,9,reserve-list,Browns  Browns,Browns  Browns,09/19,Josh Gordon,,Reserve/Suspended By Commissioner-Less than One Year
23,2014,9,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,09/17,Darrion Weems,,Reserve/Injured
24,2014,9,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,09/16,Rashaan Melvin,,Reserve/Injured
0,2014,10,reserve-list,Giants  Giants,Giants  Giants,10/29,Jon Beason,,Reserve/Injured
1,2014,10,reserve-list,Rams  Rams,Rams  Rams,10/29,Brian Quick,,Reserve/Injured
2,2014,10,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,10/29,Alan Ball,,Reserve/Injured
3,2014,10,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,10/29,Justin Durant,,Reserve/Injured
4,2014,10,reserve-list,Rams  Rams,Rams  Rams,10/28,Jake Long,,Reserve/Injured
5,2014,10,reserve-list,Panthers  Panthers,Panthers  Panthers,10/28,Chase Blackburn,,Reserve/Injured
6,2014,10,reserve-list,Bills  Bills,Bills  Bills,10/28,Kenny Ladler,,Reserve/Injured
7,2014,10,reserve-list,Raiders  Raiders,Raiders  Raiders,10/25,LaMarr Woodley,,Reserve/Injured
8,2014,10,reserve-list,Raiders  Raiders,Raiders  Raiders,10/25,Usama Young,,Reserve/Injured
9,2014,10,reserve-list,Niners  Niners,Niners  Niners,10/25,Daniel Kilgore,,Reserve/Injured
10,2014,10,reserve-list,Niners  Niners,Niners  Niners,10/25,Chris Cook,,Reserve/Injured
11,2014,10,reserve-list,Rams  Rams,Rams  Rams,10/25,Brandon McGee,,Reserve/Injured
12,2014,10,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,10/25,Derrick Coleman,,Reserve/Injured
13,2014,10,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,10/21,Da'Quan Bowers,,Reserve/Suspended By Commissioner-Less than One Year
14,2014,10,reserve-list,Redskins  Redskins,Redskins  Redskins,10/21,Brian Orakpo,,Reserve/Injured
15,2014,10,reserve-list,Falcons  Falcons,Falcons  Falcons,10/20,Peter Konz,,Reserve/Injured
16,2014,10,reserve-list,Saints  Saints,Saints  Saints,10/20,Glenn Foster,,Reserve/Injured
17,2014,10,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,10/20,Paul Posluszny,,Reserve/Injured
18,2014,10,reserve-list,Ravens  Ravens,Ravens  Ravens,10/20,Morgan Cox,,Reserve/Injured
19,2014,10,reserve-list,Titans  Titans,Titans  Titans,10/18,Craig Stevens,,Reserve/Injured
20,2014,10,reserve-list,Lions  Lions,Lions  Lions,10/18,Travis Lewis,,Reserve/Injured
21,2014,10,reserve-list,Ravens  Ravens,Ravens  Ravens,10/18,Christo Bilukidi,,Reserve/Injured
22,2014,10,reserve-list,Redskins  Redskins,Redskins  Redskins,10/18,Akeem Jordan,,Reserve/Injured
23,2014,10,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,10/18,Cassius Marsh,,Reserve/Injured
24,2014,10,reserve-list,Browns  Browns,Browns  Browns,10/17,Alex Mack,,Reserve/Injured
0,2014,11,reserve-list,Raiders  Raiders,Raiders  Raiders,11/29,Carlos Rogers,,Reserve/Injured
1,2014,11,reserve-list,Bears  Bears,Bears  Bears,11/28,Lance Briggs,,Reserve/Injured
2,2014,11,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,11/28,Kevin Pierre-Louis,,Reserve/Injured
3,2014,11,reserve-list,Saints  Saints,Saints  Saints,11/27,Brodrick Bunkley,,Reserve/Injured
4,2014,11,reserve-list,Niners  Niners,Niners  Niners,11/27,Derek Carrier,,Reserve/Injured
5,2014,11,reserve-list,Vikings  Vikings,Vikings  Vikings,11/26,Phil Loadholt,,Reserve/Injured
6,2014,11,reserve-list,Redskins  Redskins,Redskins  Redskins,11/26,Tracy Porter,,Reserve/Injured
7,2014,11,reserve-list,Bears  Bears,Bears  Bears,11/26,Brian De La Puente,,Reserve/Injured
8,2014,11,reserve-list,Raiders  Raiders,Raiders  Raiders,11/26,David Ausberry,,Reserve/Injured
9,2014,11,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,11/26,Jack Crawford,,Reserve/Injured
10,2014,11,reserve-list,Texans  Texans,Texans  Texans,11/26,Ryan Mallett,,Reserve/Injured
11,2014,11,reserve-list,Bengals  Bengals,Bengals  Bengals,11/25,Andre Smith,,Reserve/Injured
12,2014,11,reserve-list,Chargers  Chargers,Chargers  Chargers,11/25,Rich Ohrnberger,,Reserve/Injured
13,2014,11,reserve-list,Titans  Titans,Titans  Titans,11/25,Brian Schwenke,,Reserve/Injured
14,2014,11,reserve-list,Redskins  Redskins,Redskins  Redskins,11/24,Adam Hayward,,Reserve/Injured
15,2014,11,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,11/24,Jorvorskie Lane,,Reserve/Injured
16,2014,11,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,11/22,A.J. Jenkins,,Reserve/Injured
17,2014,11,reserve-list,Panthers  Panthers,Panthers  Panthers,11/18,Nate Chandler,,Reserve/Injured
18,2014,11,reserve-list,Eagles  Eagles,Eagles  Eagles,11/18,Earl Wolff,,Reserve/Injured
19,2014,11,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,11/18,Troy Niklas,,Reserve/Injured
20,2014,11,reserve-list,Colts  Colts,Colts  Colts,11/18,Ahmad Bradshaw,,Reserve/Injured
21,2014,11,reserve-list,Saints  Saints,Saints  Saints,11/18,Rafael Bush,,Reserve/Injured
22,2014,11,reserve-list,Saints  Saints,Saints  Saints,11/18,Brandin Cooks,,Reserve/Injured
23,2014,11,reserve-list,Bills  Bills,Bills  Bills,11/17,Leodis McKelvin,,Reserve/Injured
24,2014,11,reserve-list,Niners  Niners,Niners  Niners,11/17,Ian Williams,,Reserve/Injured
0,2014,12,reserve-list,Bengals  Bengals,Bengals  Bengals,12/31,Dane Sanzenbacher,,Reserve/Injured
1,2014,12,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,12/30,Henry Melton,,Reserve/Injured
2,2014,12,reserve-list,Lions  Lions,Lions  Lions,12/29,Ndamukong Suh,,Reserve/Suspended By Commissioner-Less than One Year
3,2014,12,reserve-list,Chargers  Chargers,Chargers  Chargers,12/27,Mike Scifres,,Reserve/Injured
4,2014,12,reserve-list,Vikings  Vikings,Vikings  Vikings,12/27,Anthony Barr,,Reserve/Injured
5,2014,12,reserve-list,Jets  Jets,Jets  Jets,12/27,Rontez Miles,,Reserve/Injured
6,2014,12,reserve-list,Saints  Saints,Saints  Saints,12/27,John Jenkins,,Reserve/Injured
7,2014,12,reserve-list,Patriots  Patriots,Patriots  Patriots,12/27,Alfonzo Dennard,,Reserve/Injured
8,2014,12,reserve-list,Redskins  Redskins,Redskins  Redskins,12/27,Jason Hatcher,,Reserve/Injured
9,2014,12,reserve-list,Saints  Saints,Saints  Saints,12/26,Pierre Thomas,,Reserve/Injured
10,2014,12,reserve-list,Saints  Saints,Saints  Saints,12/26,Akiem Hicks,,Reserve/Injured
11,2014,12,reserve-list,Niners  Niners,Niners  Niners,12/26,Alex Boone,,Reserve/Injured
12,2014,12,reserve-list,Niners  Niners,Niners  Niners,12/26,Raymond Ventrone,,Reserve/Injured
13,2014,12,reserve-list,Browns  Browns,Browns  Browns,12/24,Johnny Manziel,,Reserve/Injured
14,2014,12,reserve-list,Browns  Browns,Browns  Browns,12/24,Ishmaa'ily Kitchen,,Reserve/Injured
15,2014,12,reserve-list,Raiders  Raiders,Raiders  Raiders,12/24,Brian Leonhardt,,Reserve/Injured
16,2014,12,reserve-list,Redskins  Redskins,Redskins  Redskins,12/23,Trent Murphy,,Reserve/Injured
17,2014,12,reserve-list,Ravens  Ravens,Ravens  Ravens,12/23,Rick Wagner,,Reserve/Injured
18,2014,12,reserve-list,Bears  Bears,Bears  Bears,12/23,Willie Young,,Reserve/Injured
19,2014,12,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,12/23,Jamar Taylor,,Reserve/Injured
20,2014,12,reserve-list,Falcons  Falcons,Falcons  Falcons,12/23,William Moore,,Reserve/Injured
21,2014,12,reserve-list,Panthers  Panthers,Panthers  Panthers,12/22,De'Andre Presley,,Reserve/Injured
22,2014,12,reserve-list,Chargers  Chargers,Chargers  Chargers,12/22,Johnnie Troutman,,Reserve/Injured
23,2014,12,reserve-list,Lions  Lions,Lions  Lions,12/22,Dominic Raiola,,Reserve/Suspended By Commissioner-Less than One Year
24,2014,12,reserve-list,Raiders  Raiders,Raiders  Raiders,12/20,Tarell Brown,,Reserve/Injured
0,2015,1,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,01/12,Paul Richardson,,Reserve/Injured
1,2015,1,reserve-list,Broncos  Broncos,Broncos  Broncos,01/10,Quanterus Smith,,Reserve/Injured
2,2015,1,reserve-list,Colts  Colts,Colts  Colts,01/06,Hugh Thornton,,Reserve/Injured
3,2015,1,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,01/06,Jordan Hill,,Reserve/Injured
4,2015,1,reserve-list,Ravens  Ravens,Ravens  Ravens,01/02,Arthur Brown,,Reserve/Injured
5,2015,1,reserve-list,Colts  Colts,Colts  Colts,01/01,Gosder Cherilus,,Reserve/Injured
0,2015,2,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,02/02,Greg Jones,,Reserve/Retired
0,2015,3,reserve-list,Niners  Niners,Niners  Niners,03/10,Patrick Willis,,Reserve/Retired
0,2015,4,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,04/29,Maurice Jones-Drew,,Reserve/Retired
1,2015,4,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,04/22,Adrian Wilson,,Reserve/Retired
2,2015,4,reserve-list,Steelers  Steelers,Steelers  Steelers,04/16,Troy Polamalu,,Reserve/Retired
3,2015,4,reserve-list,Colts  Colts,Colts  Colts,04/13,Aaron Morgan,,Reserve/Retired
0,2015,5,reserve-list,Ravens  Ravens,Ravens  Ravens,05/29,Julian Wilson,,Reserve/Injured from Waived/Injured; Not Against 90
1,2015,5,reserve-list,Browns  Browns,Browns  Browns,05/27,Keith Pough,,Reserve/Injured from Waived/Injured; Not Against 90
2,2015,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/27,Chris Boyd,,Reserve/Injured from Waived/Injured; Not Against 90
3,2015,5,reserve-list,Colts  Colts,Colts  Colts,05/27,Josh Mitchell,,Reserve/Injured from Waived/Injured; Not Against 90
4,2015,5,reserve-list,Saints  Saints,Saints  Saints,05/21,Andy Tanner,,Reserve/Injured from Waived/Injured; Not Against 90
5,2015,5,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/20,Emmanuel Ogbuehi,,Reserve/Injured from Waived/Injured; Not Against 90
6,2015,5,reserve-list,Steelers  Steelers,Steelers  Steelers,05/20,L'Damian Washington,,Reserve/Injured from Waived/Injured; Not Against 90
7,2015,5,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,05/19,Demitrius Bronson,,Reserve/Injured from Waived/Injured; Not Against 90
8,2015,5,reserve-list,Redskins  Redskins,Redskins  Redskins,05/19,James Gayle,,Reserve/Injured from Waived/Injured; Not Against 90
9,2015,5,reserve-list,Niners  Niners,Niners  Niners,05/18,Justin Smith,,Reserve/Retired
10,2015,5,reserve-list,Giants  Giants,Giants  Giants,05/12,Thomas Gordon,,Reserve/Injured from Waived/Injured; Not Against 90
11,2015,5,reserve-list,Raiders  Raiders,Raiders  Raiders,05/12,Jeremy Gallon,,Reserve/Injured from Waived/Injured; Not Against 90
12,2015,5,reserve-list,Ravens  Ravens,Ravens  Ravens,05/08,Ed Reed,,Reserve/Retired
13,2015,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/08,Josh Brent,,Reserve/Retired
14,2015,5,reserve-list,Jets  Jets,Jets  Jets,05/08,Corey Hilliard,,Reserve/Retired
15,2015,5,reserve-list,Titans  Titans,Titans  Titans,05/08,Kamerion Wimbley,,Reserve/Retired
16,2015,5,reserve-list,Raiders  Raiders,Raiders  Raiders,05/06,Miles Burris,,Reserve/Injured from Waived/Injured; Not Against 90
17,2015,5,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,05/05,John Carlson,,Reserve/Retired
18,2015,5,reserve-list,Niners  Niners,Niners  Niners,05/04,Chris Borland,,Reserve/Retired
0,2015,6,reserve-list,Steelers  Steelers,Steelers  Steelers,06/18,Micah Hatchie,,Reserve/Injured from Waived/Injured; Not Against 90
1,2015,6,reserve-list,Bills  Bills,Bills  Bills,06/17,Deon Broomfield,,Reserve/Injured from Waived/Injured; Not Against 90
2,2015,6,reserve-list,Jets  Jets,Jets  Jets,06/17,Zach Sudfeld,,Reserve/Injured from Waived/Injured; Not Against 90
3,2015,6,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,06/16,Ryan Robinson,,Reserve/Injured from Waived/Injured; Not Against 90
4,2015,6,reserve-list,Niners  Niners,Niners  Niners,06/08,Anthony Davis,,Reserve/Retired
5,2015,6,reserve-list,Raiders  Raiders,Raiders  Raiders,06/04,Andre Debose,,Reserve/Injured from Waived/Injured; Not Against 90
0,2015,7,reserve-list,Ravens  Ravens,Ravens  Ravens,07/30,Cam Worthy,,Reserve/Injured from Waived/Injured; Not Against 90
1,2015,7,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,07/30,Keith Rivers,,Reserve/Retired
2,2015,7,reserve-list,Bengals  Bengals,Bengals  Bengals,07/29,James Wright,,Reserve/Injured from Waived/Injured; Not Against 90
3,2015,7,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,07/29,Cameron Lawrence,,Reserve/Injured from Waived/Injured; Not Against 90
4,2015,7,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,07/29,Ryan Miller,,Reserve/Injured from Waived/Injured; Not Against 90
5,2015,7,reserve-list,Saints  Saints,Saints  Saints,07/28,Michael Brewster,,Reserve/Injured from Waived/Injured; Not Against 90
6,2015,7,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,07/24,C.J. Wilson,,Reserve/Retired
7,2015,7,reserve-list,Giants  Giants,Giants  Giants,07/16,Marcus Harris,,Reserve/Injured from Waived/Injured; Not Against 90
0,2015,8,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Dante Fowler Jr.,,Reserve/Injured
1,2015,8,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Josh Wells,,Reserve/Injured
2,2015,8,reserve-list,Falcons  Falcons,Falcons  Falcons,08/31,Lamar Holmes,,Reserve/Physically Unable to Perform
3,2015,8,reserve-list,Colts  Colts,Colts  Colts,08/31,Tevin Mitchel,,Reserve/Injured
4,2015,8,reserve-list,Bears  Bears,Bears  Bears,08/31,Kevin White,,Reserve/Physically Unable to Perform
5,2015,8,reserve-list,Ravens  Ravens,Ravens  Ravens,08/31,Matt Elam,,Reserve/Injured
6,2015,8,reserve-list,Ravens  Ravens,Ravens  Ravens,08/31,Chris Greenwood,,Reserve/Injured
7,2015,8,reserve-list,Ravens  Ravens,Ravens  Ravens,08/31,Steven Means,,Reserve/Injured
8,2015,8,reserve-list,Broncos  Broncos,Broncos  Broncos,08/31,Jeff Heuerman,,Reserve/Injured
9,2015,8,reserve-list,Bills  Bills,Bills  Bills,08/31,Cam Thomas,,Reserve/Physically Unable to Perform
10,2015,8,reserve-list,Vikings  Vikings,Vikings  Vikings,08/31,Josh Robinson,,Reserve/Physically Unable to Perform
11,2015,8,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,08/31,Jeremy Lane,,Reserve/Physically Unable to Perform
12,2015,8,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,08/31,Paul Richardson,,Reserve/Physically Unable to Perform
13,2015,8,reserve-list,Patriots  Patriots,Patriots  Patriots,08/28,Jake Bequette,,Reserve/Injured from Waived/Injured; Not Against 90
14,2015,8,reserve-list,Falcons  Falcons,Falcons  Falcons,08/27,Evan Royster,,Reserve/Injured from Waived/Injured; Not Against 90
15,2015,8,reserve-list,Raiders  Raiders,Raiders  Raiders,08/27,Chase Williams,,Reserve/Injured from Waived/Injured; Not Against 90
16,2015,8,reserve-list,Jets  Jets,Jets  Jets,08/26,Davon Walls,,Reserve/Injured from Waived/Injured; Not Against 90
17,2015,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/25,Frank Alexander,,Reserve/Injured from Waived/Injured; Not Against 90
18,2015,8,reserve-list,Bears  Bears,Bears  Bears,08/25,Jason Weaver,,Reserve/Injured from Waived/Injured; Not Against 90
19,2015,8,reserve-list,Lions  Lions,Lions  Lions,08/25,Kevin Snyder,,Reserve/Injured from Waived/Injured; Not Against 90
20,2015,8,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,08/25,Damian Copeland,,Reserve/Injured from Waived/Injured; Not Against 90
21,2015,8,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,08/25,Brennan Williams,,Reserve/Injured from Waived/Injured; Not Against 90
22,2015,8,reserve-list,Patriots  Patriots,Patriots  Patriots,08/25,Brian Tyms,,Reserve/Injured from Waived/Injured; Not Against 90
23,2015,8,reserve-list,Giants  Giants,Giants  Giants,08/25,Justin Currie,,Reserve/Injured from Waived/Injured; Not Against 90
24,2015,8,reserve-list,Giants  Giants,Giants  Giants,08/25,Tony Johnson,,Reserve/Injured from Waived/Injured; Not Against 90
0,2015,9,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,09/30,Phillip Gaines,,Reserve/Injured
1,2015,9,reserve-list,Texans  Texans,Texans  Texans,09/30,Mike Mohamed,,Reserve/Injured
2,2015,9,reserve-list,Texans  Texans,Texans  Texans,09/30,Carlos Thompson,,Reserve/Injured
3,2015,9,reserve-list,Eagles  Eagles,Eagles  Eagles,09/29,Andrew Gardner,,Reserve/Injured
4,2015,9,reserve-list,Eagles  Eagles,Eagles  Eagles,09/29,Cody Parkey,,Reserve/Injured
5,2015,9,reserve-list,Chargers  Chargers,Chargers  Chargers,09/29,Johnnie Troutman,,Reserve/Injured
6,2015,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/29,Justin Rogers,,Reserve/Injured
7,2015,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/29,Shawn Lauvao,,Reserve/Injured
8,2015,9,reserve-list,Colts  Colts,Colts  Colts,09/28,Sheldon Price,,Reserve/Injured
9,2015,9,reserve-list,Texans  Texans,Texans  Texans,09/26,Jeff Adams,,Reserve/Injured
10,2015,9,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,09/22,Terrell McClain,,Reserve/Injured
11,2015,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/22,Martrell Spaight,,Reserve/Injured
12,2015,9,reserve-list,Packers  Packers,Packers  Packers,09/21,Josh Boyd,,Reserve/Injured
13,2015,9,reserve-list,Panthers  Panthers,Panthers  Panthers,09/17,Nate Chandler,,Reserve/Injured
14,2015,9,reserve-list,Colts  Colts,Colts  Colts,09/16,Vick Ballard,,Reserve/Injured
15,2015,9,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,09/16,James-Michael Johnson,,Reserve/Injured
16,2015,9,reserve-list,Ravens  Ravens,Ravens  Ravens,09/16,Terrell Suggs,,Reserve/Injured
17,2015,9,reserve-list,Saints  Saints,Saints  Saints,09/15,Rafael Bush,,Reserve/Injured
18,2015,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/15,Duke Ihenacho,,Reserve/Injured
19,2015,9,reserve-list,Packers  Packers,Packers  Packers,09/15,Sam Barrington,,Reserve/Injured
20,2015,9,reserve-list,Eagles  Eagles,Eagles  Eagles,09/15,David Molk,,Reserve/Injured
21,2015,9,reserve-list,Redskins  Redskins,Redskins  Redskins,09/14,Chris Culliver,,Reserve/Suspended By Commissioner-Less than One Year
22,2015,9,reserve-list,Bears  Bears,Bears  Bears,09/14,Cornelius Washington,,Reserve/Injured
23,2015,9,reserve-list,Saints  Saints,Saints  Saints,09/12,Davis Tull,,Reserve/Injured
24,2015,9,reserve-list,Bills  Bills,Bills  Bills,09/11,IK Enemkpali,,Reserve/Suspended By Commissioner-Less than One Year
0,2015,10,reserve-list,Ravens  Ravens,Ravens  Ravens,10/30,Matt Elam,,Reserve/Suspended By Commissioner-Less than One Year
1,2015,10,reserve-list,Ravens  Ravens,Ravens  Ravens,10/28,Darren Waller,,Reserve/Injured
2,2015,10,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,10/27,Louis Murphy,,Reserve/Injured
3,2015,10,reserve-list,Vikings  Vikings,Vikings  Vikings,10/27,Jabari Price,,Reserve/Injured
4,2015,10,reserve-list,Texans  Texans,Texans  Texans,10/27,Arian Foster,,Reserve/Injured
5,2015,10,reserve-list,Jets  Jets,Jets  Jets,10/26,Jaiquawn Jarrett,,Reserve/Injured
6,2015,10,reserve-list,Steelers  Steelers,Steelers  Steelers,10/24,Cortez Allen,,Reserve/Injured
7,2015,10,reserve-list,Panthers  Panthers,Panthers  Panthers,10/23,Richie Brockel,,Reserve/Injured
8,2015,10,reserve-list,Niners  Niners,Niners  Niners,10/23,Antoine Bethea,,Reserve/Injured
9,2015,10,reserve-list,Vikings  Vikings,Vikings  Vikings,10/21,Shamar Stephen,,Reserve/Injured
10,2015,10,reserve-list,Lions  Lions,Lions  Lions,10/20,Zach Zenner,,Reserve/Injured
